Key,English,Vietnamese
AuCo,Au Co,Âu Cơ
AuCo.Description,AuCo.Description,
Doi,Doi,Anh Đời
Doi.Description,Doi.Description,
Gam,Gam,Gắm
Gam.Description,Gam.Description,
King,King,Nhà vua
King.Description,King.Description,
LacLongQuan,Lac Long Quan,Lạc Long Quân
LacLongQuan.Description,LacLongQuan.Description,
Lua,Lua,Lụa
Lua.Description,Lua.Description,
MissCam,Cam,Cô Cám
MissCam.Description,MissCam.Description,
MissTam,Tam,Cô Tấm
MissTam.Description,MissTam.Description,
MorthersTam,Morther's Tam,Mẹ Tấm
MorthersTam.Description,MorthersTam.Description,
MrsKim,Mrs Kim,Bà Kim
MrsKim.Description,MrsKim.Description,
MrTinh,Mr Tinh,Ông Tinh
MrTinh.Description,MrTinh.Description,
MrVe,Mr Ve,Ông Vệ
MrVe.Description,MrVe.Description,
RichMan,Rich Man,Phú Ông
RichMan.Description,RichMan.Description,
SonTinh,Son Tinh,Sơn Tinh
SonTinh.Description,SonTinh.Description,
Tam,Tam,Tấm
Tam.Description,Tam.Description,
Teo,Teo,Tèo
Teo.Description,Teo.Description,
ThuyTinh,Thuy Tinh,Thủy Tinh
ThuyTinh.Description,ThuyTinh.Description,
VillageElder,Village Elder,Gìa Làng
