Key,English,Vietnamese
AuCo,Au Co,Âu Cơ
AuCo.Description,As a character in a fairy tale...................................................,Là một nhân vật trong truyện cổ tích  ..............................................
Doi,Doi,Anh Đời
Doi.Description,As a character in a fairy tale...................................................,Là một nhân vật trong truyện cổ tích  ..............................................
Gam,Gam,Gắm
Gam.Description,As a character in a fairy tale...................................................,Là một nhân vật trong truyện cổ tích  ..............................................
King,King,Nhà vua
King.Description,As a character in a fairy tale...................................................,Là một nhân vật trong truyện cổ tích  ..............................................
LacLongQuan,Lac Long Quan,Lạc Long Quân
LacLongQuan.Description,As a character in a fairy tale...................................................,Là một nhân vật trong truyện cổ tích  ..............................................
Lua,Lua,Lụa
Lua.Description,Lua is a mischievous little girl.,Lụa là một cô bé tinh nghịch.
MissCam,Cam,Cô Cám
MissCam.Description,As a character in a fairy tale...................................................,Là một nhân vật trong truyện cổ tích  ..............................................
MissTam,Tam,Cô Tấm
MissTam.Description,Tam is the main character in the fairy tale Tam Cam.,Tấm là nhân vật chính trong truyện cổ tích Tấm Cám.
MorthersTam,Morther's Tam,Mẹ Tấm
MorthersTam.Description,As a character in a fairy tale...................................................,Là một nhân vật trong truyện cổ tích  ..............................................
MrsKim,Mrs Kim,Bà Kim
MrsKim.Description,As a character in a fairy tale...................................................,Là một nhân vật trong truyện cổ tích  ..............................................
MrTinh,Mr Tinh,Ông Tinh
MrTinh.Description,As a character in a fairy tale...................................................,Là một nhân vật trong truyện cổ tích  ..............................................
MrVe,Mr Ve,Ông Vệ
MrVe.Description,As a character in a fairy tale...................................................,Là một nhân vật trong truyện cổ tích  ..............................................
RichMan,Rich Man,Phú Ông
RichMan.Description,As a character in a fairy tale...................................................,Là một nhân vật trong truyện cổ tích  ..............................................
SonTinh,Son Tinh,Sơn Tinh
SonTinh.Description,As a character in a fairy tale...................................................,Là một nhân vật trong truyện cổ tích  ..............................................
Tam,Tam,Tấm
Tam.Description,As a character in a fairy tale...................................................,Là một nhân vật trong truyện cổ tích  ..............................................
Teo,Teo,Tèo
Teo.Description,As a character in a fairy tale...................................................,Là một nhân vật trong truyện cổ tích  ..............................................
ThuyTinh,Thuy Tinh,Thủy Tinh
ThuyTinh.Description,As a character in a fairy tale...................................................,Là một nhân vật trong truyện cổ tích  ..............................................
VillageElder,Village Elder,Gìa Làng
VillageElder.Description,He is the village elder of Phu Nong village.,Ông là già làng của làng Phú Nông.
Ty,Ty,Tý
Ty.Description,As a character in a fairy tale...................................................,Là một nhân vật trong truyện cổ tích  ..............................................
